energy	As(10A)_mp11	CdAs_mp7373	TeAs_mp10051	CdAs2-mp471	Te3As2-mp484_merged	Te3As2_mp484_As3	Te3As2_mp484_As4	Cd3As2_(cod945)_merged	Cd3As2_COD945_As4	Cd3As2_COD945_As5	Cd3As2_COD945_As6	As_mp-1238842_merged	As_mp-1238842_As1	As_mp-1238842_As0	As_mp-1182332	As_mp-1096826	As_mp-158	As_mp11	As_mp10	CdAs3_mp-1183659	Cd3As_mp-1183587	Te3As2_mp-9897	TeAs2_mp-1217320	As2Se_mp-1228838	As2Se3_mp-909_merged	As2Se3_mp-909_As0	As2Se3_mp-909_As1	As2Se3_mp-1078443_merged	As2Se3_mp-1078443_As0	As2Se3_mp-1078443_As1	As4Se3_mp-1194350_merged	As4Se3_mp-1194350_As2	As4Se3_mp-1194350_As1	As4Se3_mp-1194350_As0	AsCl3_cod4317526	AsCl3_mp-23280_symmetrized	AsCl3O_mp-29863_symmetrized																																																												
11856.616	0.0022688741	0.0029125105	0.0012264681	0.0028776568	8.5611265E-4	0.0010009398	7.519418E-4	0.0038225981	0.0037970555	0.0038600461	0.003933068	0.0022117039	0.0019072362	0.0023655913	0.0021065547	0.0017898663	0.0023171013	0.0022688741	0.0027192045	0.0020480675	0.0016095339	8.5714606E-4	0.0020468033	0.0015878162	0.0014729091	0.0014529879	0.0014928516	0.0010246367	0.0011613453	9.0252847E-4	0.0019501718	0.0019519809	0.0022413076	0.0020039751	0.0023307627	0.0023255678	0.0037117131																																																												
11858.333	-0.0030082734	-0.0031103421	-0.0019929179	-0.0032305776	-0.0013189161	-0.0015412342	-0.0011311918	-0.0031717173	-0.0031526994	-0.0032890951	-0.0030623732	-0.0032037705	-0.0027681183	-0.0034239634	-0.0025712193	-0.0026179269	-0.0030297647	-0.0030082734	-0.0036068018	-0.0027796636	-0.0019777586	-0.001336902	2.4249603E-4	-5.2249465E-4	-0.0022344623	-0.0022053972	-0.0022635579	-0.0016486691	-0.0018672688	-0.0014482203	-0.0028168311	-0.0028219459	-0.0030522211	-0.0027566855	-0.003743795	-0.0039875337	-0.005021358																																																												
11859.901	-0.0025105922	-0.0033810104	-0.0012795667	-0.0033140256	-8.9112786E-4	-0.0010433836	-7.8470274E-4	-0.0040441903	-0.0040123999	-0.0041306575	-0.0040369918	-0.0023945014	-0.0020544346	-0.0025663823	-0.0023452917	-0.0019240623	-0.0025662916	-0.0025105922	-0.0030287488	-0.0022645116	-0.0018004466	-8.9351284E-4	-0.00101378	-2.7654818E-4	-0.001544593	-0.0015215108	-0.0015676995	-0.0010512859	-0.0011940428	-9.2635827E-4	-0.0021036346	-0.0021007155	-0.0024576293	-0.0021778214	-0.0024445189	-0.0023758749	-0.0040954307																																																												
11861.32	0.005975329	0.0041128546	0.0049990281	0.0048358095	0.0029822387	0.0034981503	0.0024833553	0.0036293554	0.0036028096	0.0037706936	0.0034752932	0.0071622096	0.0061285758	0.007684641	0.0043553787	0.0058829298	0.0059033505	0.005975329	0.007290102	0.0057911029	0.0034257	0.0031111594	7.635226E-4	0.0046329251	0.0050037862	0.0049234277	0.0050842297	0.0039168965	0.0044515356	0.0034069457	0.0061777554	0.0061680739	0.0062495921	0.005656945	0.009291683	0.010400913	0.010284702																																																												
11862.59	0.02616765	0.022690134	0.019706632	0.024936481	0.01167611	0.013736126	0.0097984671	0.023366828	0.023192442	0.024028839	0.022914349	0.029794908	0.025312005	0.03206071	0.020012542	0.02419371	0.026080238	0.02616765	0.032025109	0.025217373	0.015802232	0.012248782	0.00687685	0.015834722	0.019767114	0.019396783	0.020137836	0.015079074	0.017182842	0.013109439	0.025359988	0.025293492	0.026790895	0.023877313	0.036631154	0.039881675	0.044182889																																																												
11863.71	0.064397131	0.057718939	0.047952542	0.063173326	0.027458786	0.032386821	0.02303771	0.060889803	0.060438581	0.062509908	0.059901923	0.072878352	0.061445353	0.078656957	0.048603973	0.058777586	0.064325887	0.064397131	0.07925786	0.062664809	0.038714073	0.029204058	0.018369166	0.035651528	0.04649691	0.045465338	0.047529574	0.035522191	0.040595876	0.030778937	0.061017599	0.060894994	0.065324372	0.057655343	0.088727732	0.095547455	0.10774988																																																												
11864.681	0.13123173	0.1179937	0.098615401	0.12996794	0.054086866	0.063944155	0.045303941	0.12523764	0.12432322	0.12849322	0.12329026	0.14892363	0.12454045	0.16124767	0.096388356	0.11921347	0.1313833	0.13123173	0.16245946	0.12963234	0.077655114	0.058593794	0.036502669	0.067140003	0.091171885	0.08873827	0.093608079	0.070433489	0.080737122	0.060831794	0.12223532	0.12220139	0.13202438	0.11536302	0.18134334	0.19351644	0.21735002																																																												
11865.502	0.24027239	0.21579305	0.18309554	0.24007056	0.096194867	0.11397737	0.080467787	0.2291608	0.22755579	0.23513313	0.22553056	0.27413585	0.22743424	0.29774033	0.17143557	0.21770853	0.2416781	0.24027239	0.29945818	0.24158948	0.13976395	0.10631216	0.062122708	0.11312117	0.16095911	0.1558406	0.16608304	0.12625835	0.14515796	0.10865043	0.2203643	0.22089261	0.23996511	0.20761701	0.33464412	0.35385209	0.39382258																																																												
11866.116	0.38991071	0.34762942	0.30222724	0.39020277	0.15279126	0.18141095	0.12750524	0.36629601	0.36385262	0.37605685	0.36000247	0.44811146	0.36930639	0.48794206	0.27056027	0.35371062	0.39323714	0.38991071	0.48880967	0.39818016	0.22303141	0.17171069	0.08896598	0.17321556	0.25434487	0.24519696	0.26350249	0.2020523	0.2327711	0.1734734	0.35399872	0.35542112	0.38756477	0.33258767	0.5468145	0.57481715	0.63394115																																																												
11866.742	0.62808612	0.57018137	0.48479747	0.63904269	0.23796938	0.28389434	0.1976826	0.60386509	0.60019725	0.62006239	0.59349992	0.72520461	0.59395615	0.79154178	0.43071503	0.57091037	0.63134718	0.62808612	0.79502455	0.64531668	0.35674043	0.26980994	0.13732583	0.27319419	0.40223374	0.38785099	0.41663174	0.31582593	0.36316784	0.27179108	0.56670807	0.56719995	0.62382698	0.5334012	0.84990533	0.89321261	1.0236259																																																												
11867.369	0.92189791	0.88186928	0.67197346	0.96076727	0.33475977	0.40201885	0.2762472	0.95512862	0.95049337	0.98091176	0.93935186	1.0629277	0.87009793	1.16039	0.6448578	0.84437098	0.9104384	0.92189791	1.1731499	0.92910837	0.53224134	0.37392151	0.21348324	0.44433767	0.59467755	0.57929954	0.61007185	0.43921244	0.50224953	0.38072938	0.83294889	0.82406859	0.92395011	0.79114622	1.1651424	1.2443996	1.5300487																																																												
