 X1  As_0109_(ASU_standard)    X2  As_0110_(ASU_standard)    X3  As2O3_0111_(ASU_standard)    X4  As2O3_0112_(ASU_standard)    X5  exp_As_(FL_database)    X6  exp_As2O3_(XAFS_Lib)    X7  exp_As2O5_(XAFS_Lib)  
 11856.61600  0.016637180  11856.61600  0.000198142  11856.61600  0.001418308  11856.61600  0.009778866  11856.61600  0.004694093  11856.61600  0.006694889  11856.61600  0.000443824
 11858.33300 -0.002795367  11858.33300 -0.000415112  11858.33300 -0.002971391  11858.33300 -0.005191439  11858.33300 -0.005053518  11858.33300  0.000622711  11858.33300 -0.000510835
 11859.90100 -0.015086464  11859.90100  0.000216970  11859.90100  0.001553083  11859.90100 -0.011306886  11859.90100 -0.004923296  11859.90100 -0.001310810  11859.90100 -0.000395970
 11861.32000 -0.016196060  11861.32000  0.012599321  11861.32000  0.008951790  11861.32000 -0.004657301  11861.32000  0.005282721  11861.32000  0.000688098  11861.32000  0.000462982
 11862.59000 -0.006089772  11862.59000  0.027647458  11862.59000  0.031148090  11862.59000  0.011376760  11862.59000  0.032175104  11862.59000  0.008453673  11862.59000  0.002340333
 11863.71000  0.023530482  11863.71000  0.063006361  11863.71000  0.057019667  11863.71000  0.038817098  11863.71000  0.083130578  11863.71000  0.021063616  11863.71000  0.004962416
 11864.68100  0.062514989  11864.68100  0.104744292  11864.68100  0.095464069  11864.68100  0.082593088  11864.68100  0.161846411  11864.68100  0.044082187  11864.68100  0.009260632
 11865.50200  0.117067946  11865.50200  0.167542638  11865.50200  0.137596130  11865.50200  0.109436956  11865.50200  0.280063151  11865.50200  0.073445212  11865.50200  0.013783283
 11866.11600  0.260330694  11866.11600  0.252637724  11866.11600  0.197473909  11866.11600  0.169938864  11866.11600  0.405437936  11866.11600  0.106095086  11866.11600  0.018589590
 11866.74200  0.455948351  11866.74200  0.368848746  11866.74200  0.270596754  11866.74200  0.250222302  11866.74200  0.602229005  11866.74200  0.161340046  11866.74200  0.025865325
 11867.36900  0.730636793  11867.36900  0.570972938  11867.36900  0.363027066  11867.36900  0.353606913  11867.36900  0.835519140  11867.36900  0.235487895  11867.36900  0.034403700
 11867.99500  0.920717816  11867.99500  0.772979260  11867.99500  0.509352821  11867.99500  0.499626773  11867.99500  1.101341333  11867.99500  0.333490045  11867.99500  0.045073708
