str_1,str_2
Energy (keV),I_0 (a.u.)
11.85,3054
11.8505,2799
11.851,2889
11.8515,2943
11.852,2979
11.8525,3201
11.853,3081
11.8535,2988
11.854,3204
11.8545,3180
11.855,3198
11.8555,3219
11.856,3336
11.8565,3327
11.857,3492
11.8575,3435
11.858,3534
11.8585,3603
11.859,3294
11.8595,3582
11.86,3546
11.8605,3810
11.861,4008
11.8615,3909
11.862,3990
11.8625,4326
11.863,4401
11.8635,4641
11.864,4887
11.8645,5277
11.865,5607
11.8655,5724
11.866,6174
11.8665,7134
11.867,7785
11.8675,9051
11.868,10575
11.8685,12744
11.869,16161
11.8695,21447
11.87,30216
11.8705,39138
11.871,48777
11.8715,53520
11.872,51630
11.8725,47988
11.873,44934
11.8735,41418
11.874,36765
11.8745,32898
11.875,29682
11.8755,26403
11.876,24375
11.8765,22989
11.877,22323
11.8775,22260
11.878,23259
11.8785,23946
11.879,24564
11.8795,25050
11.88,25719
11.8805,25443
11.881,25530
11.8815,24627
11.882,24123
11.8825,24045
11.883,23898
11.8835,23406
11.884,23085
11.8845,22995
11.885,23070
11.8855,22485
11.886,22758
11.8865,23208
11.887,23265
11.8875,23058
11.888,22899
11.8885,23229
11.889,23055
11.8895,23712
11.89,23826
11.8905,24222
11.891,23643
11.8915,24429
11.892,24108
11.8925,24570
11.893,24246
11.8935,24192
11.894,23766
11.8945,24591
11.895,24264
11.8955,23259
11.896,24195
11.8965,23325
11.897,23001
11.8975,23070
11.898,22815
11.8985,22059
11.899,21993
11.8995,21903
11.9,22155
11.9005,22359
11.901,22167
11.9015,22170
11.902,22212
11.9025,22203
11.903,22434
11.9035,22200
11.904,21651
11.9045,21783
11.905,21762
11.9055,21780
11.906,21105
11.9065,21564
11.907,21231
11.9075,21240
11.908,21585
11.9085,21399
11.909,21534
11.9095,21786
11.91,21444
