X1     CdTe_As__Te_111    X2     CdTe_As__Te_112    X3          CdSe_As__Cd    X4        CdSe_As-i_Cd    X5      CdSe_As-i_neut    X6        CdSe_As-i_Se    X7          CdSe_As__Se    X8        CdTe_As-i_Te  
 11856.61600  0.002469234  11856.61600  0.001821170  11856.61600  0.001725706  11856.61600  0.003019691  11856.61600  0.001059843  11856.61600  0.003534899  11856.61600  0.002491669  11856.61600  0.001917442
 11858.33300 -0.002514481  11858.33300 -0.001863080  11858.33300 -0.003615398  11858.33300 -0.003066082  11858.33300 -0.002220398  11858.33300 -0.003587435  11858.33300 -0.002557583  11858.33300 -0.001955101
 11859.90100 -0.002892547  11859.90100 -0.002115408  11859.90100  0.001889692  11859.90100 -0.003556195  11859.90100  0.001160555  11859.90100 -0.004166663  11859.90100 -0.002876190  11859.90100 -0.002240846
 11861.32000  0.002937794  11861.32000  0.002157318  11861.32000  0.023581847  11861.32000  0.003602586  11861.32000  0.013997903  11861.32000  0.004219200  11861.32000  0.002942103  11861.32000  0.002278505
 11862.59000  0.017611517  11862.59000  0.012710630  11862.59000  0.071143343  11862.59000  0.021857518  11862.59000  0.040891945  11862.59000  0.025442420  11862.59000  0.016882081  11862.59000  0.013602700
 11863.71000  0.045356478  11863.71000  0.032417572  11863.71000  0.162258111  11863.71000  0.056940319  11863.71000  0.089816175  11863.71000  0.066006571  11863.71000  0.041958776  11863.71000  0.035054112
 11864.68100  0.093051426  11864.68100  0.065903811  11864.68100  0.328746119  11864.68100  0.118425064  11864.68100  0.174140512  11864.68100  0.136437594  11864.68100  0.082450369  11864.68100  0.072045042
 11865.50200  0.170580236  11865.50200  0.119284813  11865.50200  0.612005835  11865.50200  0.218944125  11865.50200  0.311605007  11865.50200  0.249911981  11865.50200  0.143793917  11865.50200  0.131238331
 11866.11600  0.274258759  11866.11600  0.190582391  11866.11600  1.009232617  11866.11600  0.355527733  11866.11600  0.500009881  11866.11600  0.403280545  11866.11600  0.220871057  11866.11600  0.212066910
 11866.74200  0.452177747  11866.74200  0.305586327  11866.74200  1.548480726  11866.74200  0.566333270  11866.74200  0.797118124  11866.74200  0.635884172  11866.74200  0.349563870  11866.74200  0.341045602
 11867.36900  0.711532429  11867.36900  0.454655129  11867.36900  1.979150861  11867.36900  0.833631947  11867.36900  1.156592170  11867.36900  0.945950309  11867.36900  0.555911832  11867.36900  0.502203699
 11867.99500  0.967162192  11867.99500  0.595185719  11867.99500  2.133031435  11867.99500  1.108752687  11867.99500  1.435798510  11867.99500  1.281323045  11867.99500  0.808523934  11867.99500  0.641067869
 11868.62200  1.103369012  11868.62200  0.683722673  11868.62200  2.106700588  11868.62200  1.244714610  11868.62200  1.546755987  11868.62200  1.510022549  11868.62200  1.056218379  11868.62200  0.721216829
 11869.24900  1.132379992  11869.24900  0.744239733  11869.24900  1.972844257  11869.24900  1.270336439  11869.24900  1.535335631  11869.24900  1.623849639  11869.24900  1.283304432  11869.24900  0.748884828
 11869.87500  1.106386731  11869.87500  0.797979392  11869.87500  1.744776401  11869.87500  1.192896877  11869.87500  1.467716802  11869.87500  1.598263654  11869.87500  1.486767126  11869.87500  0.751790219
 11870.50200  1.051445338  11870.50200  0.845164405  11870.50200  1.492018486  11870.50200  1.075584163  11870.50200  1.394586378  11870.50200  1.486618569  11870.50200  1.627969775  11870.50200  0.752005145
 11871.12900  0.972994781  11871.12900  0.885057899  11871.12900  1.296492185  11871.12900  0.989141516  11871.12900  1.349966382  11871.12900  1.377822860  11871.12900  1.690417411  11871.12900  0.752965223
 11871.75500  0.888722419  11871.75500  0.912064332  11871.75500  1.185308798  11871.75500  0.948859388  11871.75500  1.334682045  11871.75500  1.299511668  11871.75500  1.703520873  11871.75500  0.755576164
 11872.38200  0.829629493  11872.38200  0.929762565  11872.38200  1.132913069  11872.38200  0.930377018  11872.38200  1.322557436  11872.38200  1.235840951  11872.38200  1.668040383  11872.38200  0.763867602
 11872.76400  0.812785721  11872.76400  0.939649925  11872.76400  1.116461059  11872.76400  0.925674651  11872.76400  1.303257821  11872.76400  1.196064574  11872.76400  1.629040998  11872.76400  0.771119838
 11873.41800  0.815789396  11873.41800  0.958893338  11873.41800  1.097130404  11873.41800  0.932190737  11873.41800  1.251317564  11873.41800  1.128257925  11873.41800  1.549744678  11873.41800  0.781159455
 11874.10800  0.852953759  11874.10800  0.983920071  11874.10800  1.091607912  11874.10800  0.966183578  11874.10800  1.176699830  11874.10800  1.062706548  11874.10800  1.441284934  11874.10800  0.785736285
 11874.83600  0.915426890  11874.83600  1.013177716  11874.83600  1.084783560  11874.83600  1.013989632  11874.83600  1.094579314  11874.83600  0.998402716  11874.83600  1.278494473  11874.83600  0.787641759
 11875.60200  0.982299131  11875.60200  1.041054919  11875.60200  1.046423036  11875.60200  1.048385111  11875.60200  1.022617585  11875.60200  0.941705409  11875.60200  1.090850178  11875.60200  0.798258837
 11876.40500  1.016823894  11876.40500  1.058182268  11876.40500  0.968313270  11876.40500  1.071296072  11876.40500  0.966761371  11876.40500  0.908903613  11876.40500  0.953032763  11876.40500  0.832721805
 11877.24500  0.994664059  11877.24500  1.054096480  11877.24500  0.876685152  11877.24500  1.105934754  11877.24500  0.921867286  11877.24500  0.899663275  11877.24500  0.894543278  11877.24500  0.901040493
 11878.12200  0.941940936  11878.12200  1.024146524  11878.12200  0.808813461  11878.12200  1.141627650  11878.12200  0.890823049  11878.12200  0.900218896  11878.12200  0.908579538  11878.12200  0.992550089
 11879.03700  0.912114768  11879.03700  0.977465533  11879.03700  0.787690286  11879.03700  1.138443395  11879.03700  0.879838279  11879.03700  0.902972877  11879.03700  0.980049874  11879.03700  1.070915304
 11879.98900  0.934194742  11879.98900  0.930178455  11879.98900  0.806882912  11879.98900  1.087286023  11879.98900  0.884922672  11879.98900  0.910184830  11879.98900  1.071920296  11879.98900  1.102738035
 11880.97800  0.982334912  11880.97800  0.892249948  11880.97800  0.845526147  11880.97800  1.022878223  11880.97800  0.893641216  11880.97800  0.933042395  11880.97800  1.106561816  11880.97800  1.090523047
 11882.00500  0.974547285  11882.00500  0.869478267  11882.00500  0.890943904  11882.00500  0.977087185  11882.00500  0.900878605  11882.00500  0.985774531  11882.00500  1.041311646  11882.00500  1.065091229
 11883.06900  0.880835364  11883.06900  0.869479933  11883.06900  0.931344456  11883.06900  0.959519572  11883.06900  0.914906081  11883.06900  1.057741898  11883.06900  0.957504631  11883.06900  1.051464635
 11884.17100  0.828786132  11884.17100  0.881923374  11884.17100  0.960665724  11884.17100  0.963165053  11884.17100  0.935555309  11884.17100  1.103951888  11884.17100  0.939937006  11884.17100  1.048194651
