X1  As_0109_(ASU_stand.)    X2  As_0110_(ASU_stand.)    X3  As2O3_0111_(ASU_stand.)    X4  As2O3_0112_(ASU_stand.)    X5  As2O5_(XAFS_Lib)  
 11856.61600  0.036371959  11856.61600  0.003124714  11856.61600  0.075712118  11856.61600  0.087151472  11856.61600  0.108731019
 11858.33300  0.011551683  11858.33300 -0.002210796  11858.33300  0.037816996  11858.33300  0.044220354  11858.33300  0.078002428
 11859.90100 -0.006024874  11859.90100 -0.005704728  11859.90100  0.011831043  11859.90100  0.011879285  11859.90100  0.052086915
 11861.32000 -0.012588182  11861.32000  0.004790809  11861.32000 -0.008347556  11861.32000 -0.006319276  11861.32000  0.030276512
 11862.59000 -0.008106159  11862.59000  0.018770530  11862.59000 -0.010673288  11862.59000 -0.013446621  11862.59000  0.013167970
 11863.71000  0.015167532  11863.71000  0.056641767  11863.71000 -0.006362931  11863.71000 -0.007648827  11863.71000  0.000182626
 11864.68100  0.047758908  11864.68100  0.102291177  11864.68100  0.013552732  11864.68100  0.015535439  11864.68100 -0.006669987
 11865.50200  0.095460627  11865.50200  0.172698996  11865.50200  0.040116997  11865.50200  0.025898945  11865.50200 -0.010531284
 11866.11600  0.226738550  11866.11600  0.269448494  11866.11600  0.088642743  11866.11600  0.070377372  11866.11600 -0.010321268
 11866.74200  0.406818954  11866.74200  0.402148097  11866.74200  0.150315398  11866.74200  0.132622656  11866.74200 -0.004939367
 11867.36900  0.660671675  11867.36900  0.634194917  11867.36900  0.231473835  11867.36900  0.215838652  11867.36900  0.003172661
 11867.99500  0.835586177  11867.99500  0.866108125  11867.99500  0.367099355  11867.99500  0.337806553  11867.99500  0.015938649
 11868.62200  1.022308912  11868.62200  1.199564268  11868.62200  0.522888765  11868.62200  0.516932945  11868.62200  0.037625795
 11869.24900  1.342921307  11869.24900  1.370739608  11869.24900  0.701342676  11869.24900  0.738883610  11869.24900  0.073565867
 11869.87500  1.555446018  11869.87500  1.528855938  11869.87500  0.997803009  11869.87500  1.031978649  11869.87500  0.130221415
 11870.50200  1.692282591  11870.50200  1.699163107  11870.50200  1.373865810  11870.50200  1.490463766  11870.50200  0.211861237
 11871.12900  1.944542659  11871.12900  1.910116176  11871.12900  1.703168588  11871.12900  1.797171814  11871.12900  0.333013240
 11871.75500  2.087063328  11871.75500  2.024804295  11871.75500  1.906892809  11871.75500  1.899620178  11871.75500  0.500016691
 11872.38200  2.070482646  11872.38200  1.979585854  11872.38200  1.928711796  11872.38200  1.897194581  11872.38200  0.704831397
 11872.76400  1.976366107  11872.76400  1.847566667  11872.76400  1.878247090  11872.76400  1.838109619  11872.76400  0.841055463
 11873.41800  1.750944000  11873.41800  1.623327122  11873.41800  1.743060385  11873.41800  1.687305627  11873.41800  1.117946701
 11874.10800  1.587450085  11874.10800  1.457319888  11874.10800  1.656735860  11874.10800  1.566057226  11874.10800  1.453655088
 11874.83600  1.432797322  11874.83600  1.327237256  11874.83600  1.561331367  11874.83600  1.491015820  11874.83600  1.764912497
 11875.60200  1.289642083  11875.60200  1.233750800  11875.60200  1.451882787  11875.60200  1.407443457  11875.60200  1.969638853
 11876.40500  1.212241845  11876.40500  1.154793626  11876.40500  1.378648416  11876.40500  1.303700695  11876.40500  2.006104888
 11877.24500  1.126531848  11877.24500  1.079510183  11877.24500  1.269876304  11877.24500  1.194244860  11877.24500  1.855126456
 11878.12200  1.076375215  11878.12200  1.026228012  11878.12200  1.145070609  11878.12200  1.096905118  11878.12200  1.595545733
 11879.03700  1.051689154  11879.03700  1.024029438  11879.03700  1.048113102  11879.03700  1.020872772  11879.03700  1.306246285
 11879.98900  1.054706539  11879.98900  1.044689789  11879.98900  1.048989269  11879.98900  1.032820943  11879.98900  1.135519020
 11880.97800  1.093761553  11880.97800  1.076241573  11880.97800  1.137429144  11880.97800  1.125786438  11880.97800  1.067929521
 11882.00500  1.142749489  11882.00500  1.132012321  11882.00500  1.234728573  11882.00500  1.248316188  11882.00500  1.058571685
